test model relativeRisk haplotypeLength recFrac Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_ScoreTDT_minFreq10.00000_01 Training_ScoreTDT_minFreq10.00000_05 Training_ScoreTDT_minFreq10.00000_001 Training_ScoreTDT_minFreq10.00000_005 Training_mTDT1T_01 Training_mTDT1T_05 Training_mTDT1T_001 Training_mTDT1T_005 Training_mTDT1T_minFreq10.00000_01 Training_mTDT1T_minFreq10.00000_05 Training_mTDT1T_minFreq10.00000_001 Training_mTDT1T_minFreq10.00000_005 Training_mTDTP_01 Training_mTDTP_05 Training_mTDTP_001 Training_mTDTP_005 Training_mTDT1_01 Training_mTDT1_05 Training_mTDT1_001 Training_mTDT1_005 Training_mTDT1_minFreq10.00000_01 Training_mTDT1_minFreq10.00000_05 Training_mTDT1_minFreq10.00000_001 Training_mTDT1_minFreq10.00000_005 Training_mTDTYateAlpha_0.50000_01 Training_mTDTYateAlpha_0.50000_05 Training_mTDTYateAlpha_0.50000_001 Training_mTDTYateAlpha_0.50000_005 
PowerTwoLoci DomOrDom 2.0 2 0.0000000	0.72	0.8	0.55	0.68	0.65	0.77	0.51	0.57	0.67	0.77	0.51	0.6	0.7	0.81	0.53	0.67	0.71	0.81	0.53	0.67	0.72	0.78	0.57	0.7	0.73	0.86	0.54	0.7	0.73	0.86	0.54	0.71	0.71	0.79	0.54	0.68
PowerTwoLoci DomOrDom 2.4 2 0.0000000	0.76	0.84	0.64	0.7	0.73	0.82	0.6	0.68	0.75	0.82	0.6	0.69	0.73	0.83	0.62	0.7	0.73	0.83	0.62	0.7	0.76	0.81	0.66	0.72	0.81	0.85	0.61	0.74	0.81	0.85	0.61	0.74	0.76	0.82	0.64	0.69
PowerTwoLoci DomOrDom 2.6 2 0.0000000	0.74	0.85	0.66	0.69	0.72	0.82	0.61	0.72	0.74	0.82	0.61	0.74	0.72	0.83	0.62	0.67	0.72	0.83	0.62	0.67	0.75	0.83	0.66	0.71	0.79	0.86	0.63	0.74	0.79	0.86	0.63	0.74	0.72	0.83	0.65	0.69
PowerTwoLoci DomAndDom 1.2 2 0.0000000	0.45	0.57	0.35	0.41	0.42	0.54	0.27	0.36	0.43	0.54	0.31	0.37	0.48	0.61	0.32	0.43	0.48	0.61	0.32	0.43	0.46	0.6	0.36	0.41	0.5	0.67	0.34	0.43	0.5	0.67	0.34	0.43	0.44	0.57	0.35	0.4
PowerTwoLoci DomAndDom 1.6 2 0.0000000	0.62	0.72	0.55	0.59	0.59	0.69	0.42	0.56	0.6	0.69	0.44	0.57	0.62	0.72	0.51	0.59	0.62	0.72	0.52	0.59	0.62	0.72	0.54	0.59	0.61	0.76	0.53	0.59	0.61	0.76	0.53	0.59	0.6	0.71	0.53	0.58
PowerTwoLoci DomAndDom 2.0 2 0.0000000	0.72	0.8	0.55	0.68	0.65	0.77	0.51	0.57	0.67	0.77	0.51	0.6	0.7	0.81	0.53	0.67	0.71	0.81	0.53	0.67	0.72	0.78	0.57	0.7	0.73	0.86	0.54	0.7	0.73	0.86	0.54	0.71	0.71	0.79	0.54	0.68
PowerTwoLoci DomAndDom 2.4 2 0.0000000	0.76	0.84	0.64	0.7	0.73	0.82	0.6	0.68	0.75	0.82	0.6	0.69	0.73	0.83	0.62	0.7	0.73	0.83	0.62	0.7	0.76	0.81	0.66	0.72	0.81	0.85	0.61	0.74	0.81	0.85	0.61	0.74	0.76	0.82	0.64	0.69
PowerTwoLoci DomAndDom 2.6 2 0.0000000	0.74	0.85	0.66	0.69	0.72	0.82	0.61	0.72	0.74	0.82	0.61	0.74	0.72	0.83	0.62	0.67	0.72	0.83	0.62	0.67	0.75	0.83	0.66	0.71	0.79	0.86	0.63	0.74	0.79	0.86	0.63	0.74	0.72	0.83	0.65	0.69
PowerTwoLoci RecOrRec 1.2 2 0.0000000	0.42	0.57	0.27	0.35	0.35	0.52	0.24	0.3	0.37	0.53	0.29	0.31	0.43	0.58	0.25	0.34	0.43	0.58	0.25	0.34	0.43	0.55	0.26	0.38	0.46	0.59	0.27	0.37	0.46	0.59	0.27	0.37	0.41	0.55	0.28	0.33
PowerTwoLoci RecOrRec 1.6 2 0.0000000	0.5	0.62	0.38	0.47	0.47	0.6	0.32	0.41	0.47	0.61	0.32	0.42	0.52	0.64	0.36	0.47	0.52	0.64	0.36	0.47	0.49	0.61	0.41	0.47	0.53	0.69	0.39	0.48	0.53	0.69	0.39	0.48	0.5	0.61	0.38	0.46
