"MAFSample2","mixProp","haplotypeLength","Training_mTDT_minFreq10.00000_01","Training_mTDT_minFreq10.00000_05","Training_mTDT_minFreq10.00000_001","Training_mTDT_minFreq10.00000_005","Training_ScoreTDT_01","Training_ScoreTDT_05","Training_ScoreTDT_001","Training_ScoreTDT_005","Training_ScoreTDT_minFreq10.00000_01","Training_ScoreTDT_minFreq10.00000_05","Training_ScoreTDT_minFreq10.00000_001","Training_ScoreTDT_minFreq10.00000_005","Training_mTDT1T_01","Training_mTDT1T_05","Training_mTDT1T_001","Training_mTDT1T_005","Training_mTDT1T_minFreq10.00000_01","Training_mTDT1T_minFreq10.00000_05","Training_mTDT1T_minFreq10.00000_001","Training_mTDT1T_minFreq10.00000_005","Training_mTDTP_01",,"Training_mTDTP_05",,"Training_mTDTP_001","Training_mTDTP_005","Training_mTDT1_01","Training_mTDT1_05","Training_mTDT1_001","Training_mTDT1_005","Training_mTDT1_minFreq10.00000_01","Training_mTDT1_minFreq10.00000_05","Training_mTDT1_minFreq10.00000_001","Training_mTDT1_minFreq10.00000_005"
0.1,0.5,8,0.01,0.05,0,0.01,0,0.03,0,0,0.02,0.07,0,0.01,0.04,0.21,0,0.02,0.03,0.17,0,0.02,0.013,,0.056,,0,0.01,0.07,0.36,0,0.04,0.05,0.28,0,0.03
0.3,0.5,8,0.01,0.06,0,0.01,0.01,0.03,0,0,0.02,0.07,0,0.01,0.05,0.22,0,0.03,0.04,0.17,0,0.02,0.013,,0.061,,0,0.01,0.08,0.37,0,0.04,0.06,0.27,0,0.03
0.5,0.5,8,0.01,0.05,0,0.01,0.01,0.04,0,0,0.02,0.07,0,0.01,0.07,0.3,0.01,0.04,0.05,0.24,0.01,0.03,0.017,,0.062,,0,0.01,0.12,0.51,0.01,0.07,0.09,0.39,0.01,0.05
0.1,0.75,8,0.01,0.05,0,0.01,0.01,0.03,0,0,0.02,0.07,0,0.01,0.04,0.22,0,0.02,0.04,0.17,0,0.02,0.020,,0.069,,0,0.01,0.08,0.39,0,0.03,0.07,0.3,0,0.02
0.3,0.75,8,0.01,0.05,0,0.01,0,0.03,0,0,0.01,0.07,0,0.01,0.04,0.23,0,0.02,0.04,0.18,0,0.02,0.018,,0.062,,0,0.01,0.08,0.4,0,0.03,0.06,0.31,0,0.03
0.5,0.75,8,0.01,0.05,0,0.01,0,0.03,0,0,0.01,0.06,0,0.01,0.07,0.32,0.01,0.04,0.05,0.24,0,0.03,0.016,,0.062,,0,0.01,0.13,0.54,0.01,0.06,0.08,0.39,0,0.04
0.1,0.83,8,0.01,0.05,0,0.01,0.01,0.03,0,0,0.02,0.07,0,0.01,0.04,0.24,0,0.02,0.04,0.18,0,0.02,0.018,,0.068,,0,0.01,0.07,0.38,0,0.04,0.06,0.3,0.01,0.03
0.3,0.83,8,0.01,0.05,0,0.01,0,0.03,0,0,0.02,0.06,0,0,0.04,0.23,0,0.02,0.04,0.18,0,0.02,0.016,,0.070,,0,0.01,0.07,0.38,0,0.03,0.06,0.29,0,0.03
0.5,0.83,8,0.01,0.05,0,0.01,0,0.04,0,0,0.01,0.07,0,0.01,0.06,0.33,0,0.03,0.05,0.24,0,0.03,0.016,0.016,0.062,0.064,0,0.01,0.11,0.54,0.01,0.06,0.08,0.36,0,0.04
0.1,0.5,10,0.02,0.04,0,0.01,0.01,0.03,0,0,0.02,0.06,0,0.01,0.04,0.27,0,0.02,0.03,0.18,0,0.02,0.014,,0.057,,0,0.01,0.08,0.45,0.01,0.04,0.06,0.3,0,0.03
0.3,0.5,10,0.01,0.05,0,0.01,0,0.03,0,0,0.02,0.06,0,0.01,0.05,0.29,0,0.03,0.03,0.18,0,0.02,0.014,,0.061,,0,0.01,0.09,0.46,0.01,0.05,0.06,0.31,0,0.03
0.5,0.5,10,0.01,0.05,0,0.01,0,0.04,0,0,0.02,0.06,0,0.01,0.08,0.39,0.01,0.04,0.05,0.27,0.01,0.03,0.013,,0.063,,0,0.01,0.15,0.61,0.01,0.07,0.09,0.43,0.01,0.05
0.1,0.75,10,0.01,0.05,0,0.01,0,0.03,0,0,0.01,0.07,0,0,0.05,0.28,0,0.02,0.04,0.21,0.01,0.02,0.014,,0.069,,0,0.01,0.1,0.47,0,0.04,0.05,0.34,0.01,0.03
0.3,0.75,10,0.01,0.05,0,0,0,0.03,0,0,0.01,0.06,0,0.01,0.05,0.28,0,0.02,0.04,0.2,0,0.01,0.015,,0.057,,0,0.01,0.09,0.46,0,0.04,0.06,0.34,0,0.02
0.5,0.75,10,0.01,0.05,0,0.01,0.01,0.03,0,0,0.01,0.07,0,0.01,0.08,0.38,0.01,0.04,0.05,0.28,0,0.02,0.019,,0.064,,0,0.01,0.15,0.6,0.01,0.06,0.09,0.41,0,0.03
0.1,0.83,10,0.01,0.06,0,0.01,0,0.03,0,0,0.02,0.07,0,0.01,0.06,0.28,0,0.02,0.04,0.2,0,0.02,0.019,,0.072,,0,0.01,0.1,0.47,0.01,0.04,0.07,0.33,0.01,0.03
0.3,0.83,10,0.01,0.05,0,0,0,0.03,0,0,0.01,0.06,0,0.01,0.05,0.28,0,0.02,0.03,0.19,0,0.01,0.013,,0.066,,0,0.01,0.09,0.46,0,0.04,0.06,0.33,0,0.02
0.5,0.83,10,0.01,0.05,0,0.01,0,0.04,0,0,0.02,0.06,0,0.01,0.07,0.4,0,0.04,0.04,0.25,0,0.02,0.014,0.015,0.065,0.064,0,0.01,0.14,0.63,0.01,0.06,0.08,0.38,0,0.03
,,,,,,,,,,,,,,,,,,,,,,,0.014,,0.060,,,,,,,,,,,
