test model relativeRisk haplotypeLength recFrac Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_ScoreTDT_minFreq10.00000_01 Training_ScoreTDT_minFreq10.00000_05 Training_ScoreTDT_minFreq10.00000_001 Training_ScoreTDT_minFreq10.00000_005 Training_mTDT1T_01 Training_mTDT1T_05 Training_mTDT1T_001 Training_mTDT1T_005 Training_mTDT1T_minFreq10.00000_01 Training_mTDT1T_minFreq10.00000_05 Training_mTDT1T_minFreq10.00000_001 Training_mTDT1T_minFreq10.00000_005 Training_mTDTP_01 Training_mTDTP_05 Training_mTDTP_001 Training_mTDTP_005 Training_mTDT1_01 Training_mTDT1_05 Training_mTDT1_001 Training_mTDT1_005 Training_mTDT1_minFreq10.00000_01 Training_mTDT1_minFreq10.00000_05 Training_mTDT1_minFreq10.00000_001 Training_mTDT1_minFreq10.00000_005 Training_mTDTYateAlpha_0.50000_01 Training_mTDTYateAlpha_0.50000_05 Training_mTDTYateAlpha_0.50000_001 Training_mTDTYateAlpha_0.50000_005 
PowerTwoLoci RecOrRec 1.6 2 0.0000500 0.24 0.32 0.12 0.18 0.17 0.3 0.1 0.16 0.18 0.32 0.11 0.16 0.23 0.3 0.1 0.18 0.23 0.3 0.1 0.17 0.23 0.33 0.11 0.19 0.25 0.41 0.11 0.2 0.25 0.41 0.12 0.2 0.23 0.32 0.12 0.18
PowerTwoLoci RecOrRec 1.6 2 0.0001000 0.06 0.17 0.02 0.05 0.05 0.13 0.02 0.03 0.06 0.14 0.02 0.04 0.04 0.21 0.01 0.03 0.04 0.2 0.01 0.03 0.09 0.18 0.01 0.04 0.08 0.26 0.02 0.05 0.09 0.25 0.02 0.05 0.06 0.17 0.02 0.04
PowerTwoLoci RecOrRec 1.6 2 0.0001500 0.03 0.15 0.02 0.03 0.07 0.14 0 0.04 0.07 0.14 0 0.04 0.06 0.17 0.01 0.04 0.06 0.16 0.01 0.04 0.05 0.11 0.02 0.04 0.07 0.27 0.03 0.06 0.07 0.26 0.03 0.06 0.03 0.14 0.02 0.03
PowerTwoLoci RecOrRec 1.6 2 0.0002000 0.06 0.18 0.04 0.06 0.04 0.13 0.04 0.04 0.04 0.14 0.04 0.04 0.08 0.23 0.04 0.06 0.08 0.23 0.04 0.06 0.08 0.17 0.05 0.06 0.08 0.27 0.04 0.06 0.08 0.27 0.04 0.06 0.06 0.16 0.04 0.06
PowerTwoLoci RecOrRec 2.0 2 0.0000000 0.43 0.55 0.33 0.41 0.43 0.47 0.3 0.38 0.43 0.47 0.3 0.39 0.44 0.55 0.33 0.42 0.44 0.55 0.33 0.42 0.43 0.56 0.31 0.41 0.46 0.6 0.36 0.43 0.46 0.6 0.36 0.43 0.43 0.54 0.31 0.4
PowerTwoLoci RecOrRec 2.0 2 0.0000500 0.28 0.37 0.19 0.24 0.25 0.35 0.14 0.22 0.26 0.36 0.15 0.22 0.26 0.41 0.15 0.24 0.26 0.4 0.15 0.25 0.26 0.39 0.19 0.25 0.29 0.45 0.19 0.26 0.29 0.44 0.19 0.27 0.27 0.37 0.19 0.24
PowerTwoLoci RecOrRec 2.0 2 0.0001000 0.1 0.18 0.04 0.07 0.05 0.14 0.02 0.05 0.06 0.16 0.03 0.05 0.07 0.22 0.03 0.04 0.07 0.21 0.03 0.04 0.11 0.2 0.03 0.07 0.11 0.26 0.02 0.07 0.11 0.25 0.02 0.07 0.1 0.15 0.04 0.07
PowerTwoLoci RecOrRec 2.0 2 0.0001500 0.05 0.17 0.02 0.03 0.07 0.19 0.02 0.03 0.07 0.2 0.02 0.04 0.05 0.19 0.01 0.03 0.05 0.18 0.01 0.04 0.03 0.13 0.01 0.03 0.09 0.28 0.02 0.06 0.09 0.27 0.02 0.07 0.04 0.16 0.02 0.03
PowerTwoLoci RecOrRec 2.0 2 0.0002000 0.07 0.17 0.04 0.06 0.05 0.16 0.04 0.05 0.06 0.17 0.04 0.05 0.09 0.21 0.04 0.06 0.09 0.21 0.04 0.06 0.08 0.16 0.05 0.07 0.1 0.25 0.04 0.07 0.1 0.25 0.04 0.07 0.07 0.15 0.04 0.06
PowerTwoLoci RecOrRec 2.4 2 0.0000000 0.46 0.56 0.37 0.42 0.44 0.53 0.29 0.38 0.44 0.53 0.29 0.39 0.46 0.57 0.37 0.44 0.46 0.57 0.37 0.44 0.47 0.57 0.38 0.43 0.49 0.61 0.38 0.45 0.49 0.62 0.38 0.45 0.46 0.56 0.37 0.42
PowerTwoLoci RecOrRec 2.4 2 0.0000500 0.3 0.4 0.21 0.3 0.29 0.37 0.2 0.26 0.31 0.39 0.2 0.26 0.29 0.43 0.18 0.28 0.29 0.43 0.18 0.28 0.32 0.41 0.22 0.3 0.31 0.47 0.21 0.31 0.31 0.47 0.21 0.31 0.3 0.38 0.21 0.29
PowerTwoLoci RecOrRec 2.4 2 0.0001000 0.12 0.2 0.07 0.1 0.09 0.19 0.06 0.07 0.1 0.19 0.06 0.08 0.08 0.2 0.05 0.08 0.09 0.2 0.05 0.07 0.14 0.18 0.05 0.1 0.16 0.23 0.07 0.13 0.16 0.23 0.06 0.12 0.11 0.2 0.07 0.1
PowerTwoLoci RecOrRec 2.4 2 0.0001500 0.04 0.18 0.02 0.02 0.06 0.19 0.01 0.03 0.07 0.21 0.01 0.05 0.08 0.19 0.01 0.04 0.08 0.18 0.01 0.04 0.02 0.14 0.02 0.02 0.11 0.25 0.02 0.08 0.11 0.24 0.02 0.08 0.04 0.17 0.02 0.02
PowerTwoLoci RecOrRec 2.4 2 0.0002000 0.11 0.15 0.04 0.09 0.09 0.17 0.04 0.06 0.09 0.17 0.04 0.06 0.12 0.2 0.05 0.09 0.12 0.2 0.05 0.09 0.11 0.16 0.05 0.1 0.15 0.26 0.05 0.1 0.15 0.26 0.05 0.1 0.11 0.15 0.04 0.08
PowerTwoLoci RecOrRec 2.6 2 0.0000000 0.42 0.57 0.36 0.39 0.41 0.54 0.31 0.38 0.41 0.54 0.32 0.38 0.46 0.57 0.36 0.4 0.46 0.57 0.36 0.4 0.45 0.57 0.36 0.38 0.48 0.62 0.37 0.41 0.48 0.62 0.37 0.41 0.41 0.53 0.36 0.39
PowerTwoLoci RecOrRec 2.6 2 0.0000500 0.29 0.41 0.23 0.27 0.28 0.35 0.22 0.25 0.29 0.38 0.22 0.25 0.29 0.44 0.22 0.25 0.29 0.44 0.22 0.25 0.31 0.44 0.23 0.28 0.33 0.48 0.24 0.28 0.32 0.48 0.24 0.28 0.29 0.4 0.23 0.27
PowerTwoLoci RecOrRec 2.6 2 0.0001000 0.13 0.22 0.08 0.11 0.15 0.21 0.04 0.09 0.15 0.22 0.05 0.11 0.11 0.24 0.07 0.09 0.11 0.24 0.06 0.08 0.13 0.21 0.07 0.12 0.17 0.28 0.06 0.14 0.17 0.28 0.05 0.14 0.12 0.22 0.08 0.11
PowerTwoLoci RecOrRec 2.6 2 0.0001500 0.08 0.2 0.03 0.05 0.11 0.21 0.02 0.06 0.11 0.22 0.03 0.06 0.09 0.22 0.01 0.08 0.09 0.21 0.01 0.08 0.04 0.18 0.02 0.04 0.12 0.28 0.03 0.08 0.12 0.27 0.03 0.08 0.08 0.19 0.03 0.05
PowerTwoLoci RecOrRec 2.6 2 0.0002000 0.1 0.19 0.06 0.07 0.11 0.2 0.06 0.08 0.12 0.21 0.06 0.08 0.12 0.2 0.07 0.09 0.12 0.2 0.07 0.09 0.11 0.19 0.05 0.09 0.16 0.25 0.07 0.1 0.16 0.25 0.07 0.1 0.09 0.19 0.06 0.07
PowerTwoLoci Threshold 1.2 2 0.0000000 0.38 0.41 0.28 0.36 0.34 0.39 0.26 0.33 0.35 0.39 0.27 0.33 0.38 0.46 0.27 0.35 0.38 0.46 0.27 0.35 0.36 0.45 0.29 0.34 0.38 0.46 0.3 0.34 0.38 0.46 0.3 0.34 0.38 0.41 0.28 0.34
PowerTwoLoci Threshold 1.2 2 0.0000500 0.14 0.3 0.1 0.14 0.13 0.23 0.08 0.12 0.14 0.25 0.08 0.13 0.13 0.3 0.09 0.13 0.13 0.3 0.09 0.13 0.16 0.31 0.09 0.13 0.16 0.37 0.09 0.14 0.16 0.37 0.09 0.14 0.14 0.29 0.1 0.14
PowerTwoLoci Threshold 1.2 2 0.0001000 0.06 0.14 0.02 0.04 0.03 0.12 0.02 0.03 0.04 0.13 0.02 0.03 0.06 0.15 0.02 0.04 0.06 0.14 0.02 0.03 0.07 0.15 0.01 0.03 0.07 0.21 0.02 0.03 0.08 0.21 0.02 0.03 0.06 0.12 0.02 0.04
PowerTwoLoci Threshold 1.2 2 0.0001500 0.05 0.13 0.01 0.04 0.03 0.15 0.01 0.02 0.03 0.15 0.01 0.02 0.07 0.16 0 0.04 0.07 0.15 0 0.04 0.06 0.11 0.02 0.04 0.09 0.22 0.01 0.05 0.09 0.21 0.01 0.05 0.05 0.13 0.01 0.04
PowerTwoLoci Threshold 1.2 2 0.0002000 0.08 0.17 0.05 0.07 0.06 0.18 0.04 0.06 0.06 0.2 0.04 0.06 0.09 0.2 0.05 0.07 0.09 0.2 0.05 0.07 0.09 0.18 0.07 0.07 0.09 0.27 0.05 0.07 0.09 0.27 0.05 0.07 0.07 0.14 0.05 0.07
PowerTwoLoci Threshold 1.6 2 0.0000000 0.42 0.47 0.31 0.39 0.38 0.47 0.27 0.35 0.4 0.47 0.27 0.36 0.4 0.54 0.31 0.36 0.4 0.54 0.31 0.36 0.44 0.51 0.3 0.39 0.44 0.57 0.31 0.41 0.44 0.57 0.31 0.41 0.41 0.47 0.3 0.39
PowerTwoLoci Threshold 1.6 2 0.0000500 0.24 0.32 0.12 0.18 0.17 0.3 0.1 0.16 0.18 0.32 0.11 0.16 0.23 0.3 0.1 0.18 0.23 0.3 0.1 0.17 0.23 0.33 0.11 0.19 0.25 0.41 0.11 0.2 0.25 0.41 0.12 0.2 0.23 0.32 0.12 0.18
PowerTwoLoci Threshold 1.6 2 0.0001000 0.06 0.17 0.02 0.05 0.05 0.13 0.02 0.03 0.06 0.14 0.02 0.04 0.04 0.21 0.01 0.03 0.04 0.2 0.01 0.03 0.09 0.18 0.01 0.04 0.08 0.26 0.02 0.05 0.09 0.25 0.02 0.05 0.06 0.17 0.02 0.04
PowerTwoLoci Threshold 1.6 2 0.0001500 0.03 0.15 0.02 0.03 0.07 0.14 0 0.04 0.07 0.14 0 0.04 0.06 0.17 0.01 0.04 0.06 0.16 0.01 0.04 0.05 0.11 0.02 0.04 0.07 0.27 0.03 0.06 0.07 0.26 0.03 0.06 0.03 0.14 0.02 0.03
PowerTwoLoci Threshold 1.6 2 0.0002000 0.06 0.18 0.04 0.06 0.04 0.13 0.04 0.04 0.04 0.14 0.04 0.04 0.08 0.23 0.04 0.06 0.08 0.23 0.04 0.06 0.08 0.17 0.05 0.06 0.08 0.27 0.04 0.06 0.08 0.27 0.04 0.06 0.06 0.16 0.04 0.06
PowerTwoLoci Threshold 2.0 2 0.0000000 0.43 0.55 0.33 0.41 0.43 0.47 0.3 0.38 0.43 0.47 0.3 0.39 0.44 0.55 0.33 0.42 0.44 0.55 0.33 0.42 0.43 0.56 0.31 0.41 0.46 0.6 0.36 0.43 0.46 0.6 0.36 0.43 0.43 0.54 0.31 0.4
PowerTwoLoci Threshold 2.0 2 0.0000500 0.28 0.37 0.19 0.24 0.25 0.35 0.14 0.22 0.26 0.36 0.15 0.22 0.26 0.41 0.15 0.24 0.26 0.4 0.15 0.25 0.26 0.39 0.19 0.25 0.29 0.45 0.19 0.26 0.29 0.44 0.19 0.27 0.27 0.37 0.19 0.24
PowerTwoLoci Threshold 2.0 2 0.0001000 0.1 0.18 0.04 0.07 0.05 0.14 0.02 0.05 0.06 0.16 0.03 0.05 0.07 0.22 0.03 0.04 0.07 0.21 0.03 0.04 0.11 0.2 0.03 0.07 0.11 0.26 0.02 0.07 0.11 0.25 0.02 0.07 0.1 0.15 0.04 0.07
PowerTwoLoci Threshold 2.0 2 0.0001500 0.05 0.17 0.02 0.03 0.07 0.19 0.02 0.03 0.07 0.2 0.02 0.04 0.05 0.19 0.01 0.03 0.05 0.18 0.01 0.04 0.03 0.13 0.01 0.03 0.09 0.28 0.02 0.06 0.09 0.27 0.02 0.07 0.04 0.16 0.02 0.03
PowerTwoLoci Threshold 2.0 2 0.0002000 0.07 0.17 0.04 0.06 0.05 0.16 0.04 0.05 0.06 0.17 0.04 0.05 0.09 0.21 0.04 0.06 0.09 0.21 0.04 0.06 0.08 0.16 0.05 0.07 0.1 0.25 0.04 0.07 0.1 0.25 0.04 0.07 0.07 0.15 0.04 0.06
PowerTwoLoci Threshold 2.4 2 0.0000000 0.46 0.56 0.37 0.42 0.44 0.53 0.29 0.38 0.44 0.53 0.29 0.39 0.46 0.57 0.37 0.44 0.46 0.57 0.37 0.44 0.47 0.57 0.38 0.43 0.49 0.61 0.38 0.45 0.49 0.62 0.38 0.45 0.46 0.56 0.37 0.42
PowerTwoLoci Threshold 2.4 2 0.0000500 0.3 0.4 0.21 0.3 0.29 0.37 0.2 0.26 0.31 0.39 0.2 0.26 0.29 0.43 0.18 0.28 0.29 0.43 0.18 0.28 0.32 0.41 0.22 0.3 0.31 0.47 0.21 0.31 0.31 0.47 0.21 0.31 0.3 0.38 0.21 0.29
PowerTwoLoci Threshold 2.4 2 0.0001000 0.12 0.2 0.07 0.1 0.09 0.19 0.06 0.07 0.1 0.19 0.06 0.08 0.08 0.2 0.05 0.08 0.09 0.2 0.05 0.07 0.14 0.18 0.05 0.1 0.16 0.23 0.07 0.13 0.16 0.23 0.06 0.12 0.11 0.2 0.07 0.1
PowerTwoLoci Threshold 2.4 2 0.0001500 0.04 0.18 0.02 0.02 0.06 0.19 0.01 0.03 0.07 0.21 0.01 0.05 0.08 0.19 0.01 0.04 0.08 0.18 0.01 0.04 0.02 0.14 0.02 0.02 0.11 0.25 0.02 0.08 0.11 0.24 0.02 0.08 0.04 0.17 0.02 0.02
PowerTwoLoci Threshold 2.4 2 0.0002000 0.11 0.15 0.04 0.09 0.09 0.17 0.04 0.06 0.09 0.17 0.04 0.06 0.12 0.2 0.05 0.09 0.12 0.2 0.05 0.09 0.11 0.16 0.05 0.1 0.15 0.26 0.05 0.1 0.15 0.26 0.05 0.1 0.11 0.15 0.04 0.08
PowerTwoLoci Threshold 2.6 2 0.0000000 0.42 0.57 0.36 0.39 0.41 0.54 0.31 0.38 0.41 0.54 0.32 0.38 0.46 0.57 0.36 0.4 0.46 0.57 0.36 0.4 0.45 0.57 0.36 0.38 0.48 0.62 0.37 0.41 0.48 0.62 0.37 0.41 0.41 0.53 0.36 0.39
PowerTwoLoci Threshold 2.6 2 0.0000500 0.29 0.41 0.23 0.27 0.28 0.35 0.22 0.25 0.29 0.38 0.22 0.25 0.29 0.44 0.22 0.25 0.29 0.44 0.22 0.25 0.31 0.44 0.23 0.28 0.33 0.48 0.24 0.28 0.32 0.48 0.24 0.28 0.29 0.4 0.23 0.27
PowerTwoLoci Threshold 2.6 2 0.0001000 0.13 0.22 0.08 0.11 0.15 0.21 0.04 0.09 0.15 0.22 0.05 0.11 0.11 0.24 0.07 0.09 0.11 0.24 0.06 0.08 0.13 0.21 0.07 0.12 0.17 0.28 0.06 0.14 0.17 0.28 0.05 0.14 0.12 0.22 0.08 0.11
PowerTwoLoci Threshold 2.6 2 0.0001500 0.08 0.2 0.03 0.05 0.11 0.21 0.02 0.06 0.11 0.22 0.03 0.06 0.09 0.22 0.01 0.08 0.09 0.21 0.01 0.08 0.04 0.18 0.02 0.04 0.12 0.28 0.03 0.08 0.12 0.27 0.03 0.08 0.08 0.19 0.03 0.05
PowerTwoLoci Threshold 2.6 2 0.0002000 0.1 0.19 0.06 0.07 0.11 0.2 0.06 0.08 0.12 0.21 0.06 0.08 0.12 0.2 0.07 0.09 0.12 0.2 0.07 0.09 0.11 0.19 0.05 0.09 0.16 0.25 0.07 0.1 0.16 0.25 0.07 0.1 0.09 0.19 0.06 0.07
PowerTwoLoci Modified 1.2 2 0.0000000 0.38 0.41 0.28 0.36 0.34 0.39 0.26 0.33 0.35 0.39 0.27 0.33 0.38 0.46 0.27 0.35 0.38 0.46 0.27 0.35 0.36 0.45 0.29 0.34 0.38 0.46 0.3 0.34 0.38 0.46 0.3 0.34 0.38 0.41 0.28 0.34
PowerTwoLoci Modified 1.2 2 0.0000500 0.14 0.3 0.1 0.14 0.13 0.23 0.08 0.12 0.14 0.25 0.08 0.13 0.13 0.3 0.09 0.13 0.13 0.3 0.09 0.13 0.16 0.31 0.09 0.13 0.16 0.37 0.09 0.14 0.16 0.37 0.09 0.14 0.14 0.29 0.1 0.14
PowerTwoLoci Modified 1.2 2 0.0001000 0.06 0.14 0.02 0.04 0.03 0.12 0.02 0.03 0.04 0.13 0.02 0.03 0.06 0.15 0.02 0.04 0.06 0.14 0.02 0.03 0.07 0.15 0.01 0.03 0.07 0.21 0.02 0.03 0.08 0.21 0.02 0.03 0.06 0.12 0.02 0.04
PowerTwoLoci Modified 1.2 2 0.0001500 0.05 0.13 0.01 0.04 0.03 0.15 0.01 0.02 0.03 0.15 0.01 0.02 0.07 0.16 0 0.04 0.07 0.15 0 0.04 0.06 0.11 0.02 0.04 0.09 0.22 0.01 0.05 0.09 0.21 0.01 0.05 0.05 0.13 0.01 0.04
PowerTwoLoci Modified 1.2 2 0.0002000 0.08 0.17 0.05 0.07 0.06 0.18 0.04 0.06 0.06 0.2 0.04 0.06 0.09 0.2 0.05 0.07 0.09 0.2 0.05 0.07 0.09 0.18 0.07 0.07 0.09 0.27 0.05 0.07 0.09 0.27 0.05 0.07 0.07 0.14 0.05 0.07
PowerTwoLoci Modified 1.6 2 0.0000000 0.42 0.47 0.31 0.39 0.38 0.47 0.27 0.35 0.4 0.47 0.27 0.36 0.4 0.54 0.31 0.36 0.4 0.54 0.31 0.36 0.44 0.51 0.3 0.39 0.44 0.57 0.31 0.41 0.44 0.57 0.31 0.41 0.41 0.47 0.3 0.39
PowerTwoLoci Modified 1.6 2 0.0000500 0.24 0.32 0.12 0.18 0.17 0.3 0.1 0.16 0.18 0.32 0.11 0.16 0.23 0.3 0.1 0.18 0.23 0.3 0.1 0.17 0.23 0.33 0.11 0.19 0.25 0.41 0.11 0.2 0.25 0.41 0.12 0.2 0.23 0.32 0.12 0.18
PowerTwoLoci Modified 1.6 2 0.0001000 0.06 0.17 0.02 0.05 0.05 0.13 0.02 0.03 0.06 0.14 0.02 0.04 0.04 0.21 0.01 0.03 0.04 0.2 0.01 0.03 0.09 0.18 0.01 0.04 0.08 0.26 0.02 0.05 0.09 0.25 0.02 0.05 0.06 0.17 0.02 0.04
PowerTwoLoci Modified 1.6 2 0.0001500 0.03 0.15 0.02 0.03 0.07 0.14 0 0.04 0.07 0.14 0 0.04 0.06 0.17 0.01 0.04 0.06 0.16 0.01 0.04 0.05 0.11 0.02 0.04 0.07 0.27 0.03 0.06 0.07 0.26 0.03 0.06 0.03 0.14 0.02 0.03
PowerTwoLoci Modified 1.6 2 0.0002000 0.06 0.18 0.04 0.06 0.04 0.13 0.04 0.04 0.04 0.14 0.04 0.04 0.08 0.23 0.04 0.06 0.08 0.23 0.04 0.06 0.08 0.17 0.05 0.06 0.08 0.27 0.04 0.06 0.08 0.27 0.04 0.06 0.06 0.16 0.04 0.06
PowerTwoLoci Modified 2.0 2 0.0000000 0.43 0.55 0.33 0.41 0.43 0.47 0.3 0.38 0.43 0.47 0.3 0.39 0.44 0.55 0.33 0.42 0.44 0.55 0.33 0.42 0.43 0.56 0.31 0.41 0.46 0.6 0.36 0.43 0.46 0.6 0.36 0.43 0.43 0.54 0.31 0.4
PowerTwoLoci Modified 2.0 2 0.0000500 0.28 0.37 0.19 0.24 0.25 0.35 0.14 0.22 0.26 0.36 0.15 0.22 0.26 0.41 0.15 0.24 0.26 0.4 0.15 0.25 0.26 0.39 0.19 0.25 0.29 0.45 0.19 0.26 0.29 0.44 0.19 0.27 0.27 0.37 0.19 0.24
PowerTwoLoci Modified 2.0 2 0.0001000 0.1 0.18 0.04 0.07 0.05 0.14 0.02 0.05 0.06 0.16 0.03 0.05 0.07 0.22 0.03 0.04 0.07 0.21 0.03 0.04 0.11 0.2 0.03 0.07 0.11 0.26 0.02 0.07 0.11 0.25 0.02 0.07 0.1 0.15 0.04 0.07
PowerTwoLoci Modified 2.0 2 0.0001500 0.05 0.17 0.02 0.03 0.07 0.19 0.02 0.03 0.07 0.2 0.02 0.04 0.05 0.19 0.01 0.03 0.05 0.18 0.01 0.04 0.03 0.13 0.01 0.03 0.09 0.28 0.02 0.06 0.09 0.27 0.02 0.07 0.04 0.16 0.02 0.03
PowerTwoLoci Modified 2.0 2 0.0002000 0.07 0.17 0.04 0.06 0.05 0.16 0.04 0.05 0.06 0.17 0.04 0.05 0.09 0.21 0.04 0.06 0.09 0.21 0.04 0.06 0.08 0.16 0.05 0.07 0.1 0.25 0.04 0.07 0.1 0.25 0.04 0.07 0.07 0.15 0.04 0.06
PowerTwoLoci Modified 2.4 2 0.0000000 0.46 0.56 0.37 0.42 0.44 0.53 0.29 0.38 0.44 0.53 0.29 0.39 0.46 0.57 0.37 0.44 0.46 0.57 0.37 0.44 0.47 0.57 0.38 0.43 0.49 0.61 0.38 0.45 0.49 0.62 0.38 0.45 0.46 0.56 0.37 0.42
PowerTwoLoci Modified 2.4 2 0.0000500 0.3 0.4 0.21 0.3 0.29 0.37 0.2 0.26 0.31 0.39 0.2 0.26 0.29 0.43 0.18 0.28 0.29 0.43 0.18 0.28 0.32 0.41 0.22 0.3 0.31 0.47 0.21 0.31 0.31 0.47 0.21 0.31 0.3 0.38 0.21 0.29
PowerTwoLoci Modified 2.4 2 0.0001000 0.12 0.2 0.07 0.1 0.09 0.19 0.06 0.07 0.1 0.19 0.06 0.08 0.08 0.2 0.05 0.08 0.09 0.2 0.05 0.07 0.14 0.18 0.05 0.1 0.16 0.23 0.07 0.13 0.16 0.23 0.06 0.12 0.11 0.2 0.07 0.1
PowerTwoLoci Modified 2.4 2 0.0001500 0.04 0.18 0.02 0.02 0.06 0.19 0.01 0.03 0.07 0.21 0.01 0.05 0.08 0.19 0.01 0.04 0.08 0.18 0.01 0.04 0.02 0.14 0.02 0.02 0.11 0.25 0.02 0.08 0.11 0.24 0.02 0.08 0.04 0.17 0.02 0.02
PowerTwoLoci Modified 2.4 2 0.0002000 0.11 0.15 0.04 0.09 0.09 0.17 0.04 0.06 0.09 0.17 0.04 0.06 0.12 0.2 0.05 0.09 0.12 0.2 0.05 0.09 0.11 0.16 0.05 0.1 0.15 0.26 0.05 0.1 0.15 0.26 0.05 0.1 0.11 0.15 0.04 0.08
PowerTwoLoci Modified 2.6 2 0.0000000 0.42 0.57 0.36 0.39 0.41 0.54 0.31 0.38 0.41 0.54 0.32 0.38 0.46 0.57 0.36 0.4 0.46 0.57 0.36 0.4 0.45 0.57 0.36 0.38 0.48 0.62 0.37 0.41 0.48 0.62 0.37 0.41 0.41 0.53 0.36 0.39
PowerTwoLoci Modified 2.6 2 0.0000500 0.29 0.41 0.23 0.27 0.28 0.35 0.22 0.25 0.29 0.38 0.22 0.25 0.29 0.44 0.22 0.25 0.29 0.44 0.22 0.25 0.31 0.44 0.23 0.28 0.33 0.48 0.24 0.28 0.32 0.48 0.24 0.28 0.29 0.4 0.23 0.27
PowerTwoLoci Modified 2.6 2 0.0001000 0.13 0.22 0.08 0.11 0.15 0.21 0.04 0.09 0.15 0.22 0.05 0.11 0.11 0.24 0.07 0.09 0.11 0.24 0.06 0.08 0.13 0.21 0.07 0.12 0.17 0.28 0.06 0.14 0.17 0.28 0.05 0.14 0.12 0.22 0.08 0.11
PowerTwoLoci Modified 2.6 2 0.0001500 0.08 0.2 0.03 0.05 0.11 0.21 0.02 0.06 0.11 0.22 0.03 0.06 0.09 0.22 0.01 0.08 0.09 0.21 0.01 0.08 0.04 0.18 0.02 0.04 0.12 0.28 0.03 0.08 0.12 0.27 0.03 0.08 0.08 0.19 0.03 0.05
PowerTwoLoci Modified 2.6 2 0.0002000 0.1 0.19 0.06 0.07 0.11 0.2 0.06 0.08 0.12 0.21 0.06 0.08 0.12 0.2 0.07 0.09 0.12 0.2 0.07 0.09 0.11 0.19 0.05 0.09 0.16 0.25 0.07 0.1 0.16 0.25 0.07 0.1 0.09 0.19 0.06 0.07
PowerTwoLoci Additive 1.2 4 0.0000000 0.57 0.63 0.48 0.54 0.52 0.58 0.41 0.5 0.52 0.61 0.43 0.5 0.56 0.71 0.47 0.51 0.56 0.72 0.47 0.51 0.61 0.66 0.49 0.56 0.62 0.74 0.52 0.58 0.62 0.74 0.52 0.58 0.56 0.62 0.48 0.54
PowerTwoLoci Additive 1.2 4 0.0000500 0.24 0.35 0.17 0.23 0.21 0.31 0.13 0.17 0.21 0.35 0.15 0.2 0.28 0.46 0.18 0.26 0.28 0.46 0.18 0.25 0.27 0.39 0.18 0.24 0.31 0.55 0.2 0.26 0.31 0.56 0.2 0.26 0.24 0.33 0.16 0.22
PowerTwoLoci Additive 1.2 4 0.0001000 0.07 0.16 0.04 0.07 0.08 0.11 0.04 0.08 0.08 0.19 0.07 0.08 0.09 0.29 0.05 0.06 0.08 0.27 0.05 0.06 0.07 0.18 0.02 0.05 0.11 0.39 0.05 0.09 0.12 0.36 0.05 0.09 0.07 0.13 0.04 0.07
PowerTwoLoci Additive 1.2 4 0.0001500 0.07 0.2 0.01 0.02 0.06 0.14 0.01 0.03 0.09 0.19 0.01 0.04 0.09 0.25 0.02 0.05 0.09 0.23 0.01 0.05 0.08 0.17 0.01 0.05 0.18 0.41 0.06 0.1 0.17 0.39 0.05 0.11 0.06 0.15 0.01 0.02
PowerTwoLoci Additive 1.2 4 0.0002000 0.08 0.17 0.05 0.06 0.05 0.19 0.05 0.05 0.05 0.25 0.05 0.05 0.13 0.3 0.06 0.1 0.14 0.28 0.06 0.1 0.09 0.21 0.04 0.08 0.17 0.45 0.06 0.12 0.17 0.42 0.06 0.12 0.07 0.14 0.05 0.05
PowerTwoLoci Additive 1.6 4 0.0000000 0.59 0.69 0.46 0.52 0.52 0.65 0.42 0.48 0.53 0.67 0.43 0.49 0.6 0.72 0.45 0.53 0.6 0.72 0.45 0.53 0.63 0.72 0.49 0.58 0.63 0.77 0.49 0.58 0.63 0.77 0.49 0.58 0.59 0.68 0.46 0.52
PowerTwoLoci Additive 1.6 4 0.0000500 0.28 0.38 0.2 0.26 0.24 0.33 0.17 0.22 0.25 0.38 0.18 0.24 0.29 0.48 0.2 0.25 0.29 0.48 0.2 0.25 0.3 0.4 0.19 0.29 0.35 0.57 0.22 0.28 0.35 0.57 0.22 0.28 0.27 0.33 0.2 0.26
PowerTwoLoci Additive 1.6 4 0.0001000 0.08 0.2 0.06 0.07 0.08 0.19 0.05 0.06 0.12 0.24 0.06 0.07 0.1 0.31 0.06 0.08 0.1 0.3 0.06 0.08 0.09 0.19 0.03 0.06 0.16 0.4 0.07 0.12 0.15 0.4 0.07 0.12 0.08 0.17 0.06 0.07
PowerTwoLoci Additive 1.6 4 0.0001500 0.08 0.21 0.01 0.05 0.07 0.19 0.01 0.03 0.09 0.21 0.01 0.07 0.09 0.25 0.03 0.07 0.09 0.25 0.02 0.07 0.06 0.16 0.01 0.05 0.16 0.39 0.05 0.14 0.17 0.38 0.04 0.14 0.06 0.17 0.01 0.04
